datetime,ntal_cf_duEW,ntal_cf_duNS,ntal_cf_duV,ntol_cf_duEW,ntol_cf_duNS,ntol_cf_duV,hydl_cf_duEW,hydl_cf_duNS,hydl_cf_duV,hydl_cf_dg
2021-03-12 03:00:00,-0.0002955731,-0.000811314,0.002566075,,,,,,,
2021-03-12 06:00:00,-0.0003068432,-0.00078957353,0.0025339671,,,,,,,
2021-03-12 09:00:00,-0.00031469986,-0.0007797478,0.0025430045,,,,,,,
2021-03-12 12:00:00,-0.00033907988,-0.0007668595,0.0025770226,0.00011240644,0.000108505934,9.264391e-05,0.0004402383,0.00042498152,-0.00085363444,1.307641
2021-03-12 15:00:00,-0.0003533582,-0.0007358221,0.0025679814,,,,,,,
2021-03-12 18:00:00,-0.00038071506,-0.00069041125,0.0025346358,,,,,,,
2021-03-12 21:00:00,-0.00040016085,-0.00065131154,0.0025339997,,,,,,,
2021-03-13 00:00:00,-0.0004308877,-0.0006171404,0.002518919,,,,,,,
2021-03-13 03:00:00,-0.0004472209,-0.0005782366,0.002444039,,,,,,,
2021-03-13 06:00:00,-0.00044985267,-0.00053082494,0.0022871722,,,,,,,
2021-03-13 09:00:00,-0.00043411477,-0.00049434195,0.0021500448,,,,,,,
2021-03-13 12:00:00,-0.00042182254,-0.0004777125,0.002006219,9.023371e-05,8.5352476e-05,-7.430265e-05,0.00044126707,0.0004248891,-0.00082301267,1.3089745
2021-03-13 15:00:00,-0.00041246472,-0.00045083908,0.0018907894,,,,,,,
2021-03-13 18:00:00,-0.00039682156,-0.00041320425,0.0017316208,,,,,,,
2021-03-13 21:00:00,-0.00037820163,-0.0004084341,0.0016317941,,,,,,,
2021-03-14 00:00:00,-0.00038379277,-0.00041190928,0.0015343328,,,,,,,
2021-03-14 03:00:00,-0.0003613688,-0.0003988499,0.0013754719,,,,,,,
2021-03-14 06:00:00,-0.0003384679,-0.00037965324,0.001208993,,,,,,,
2021-03-14 09:00:00,-0.0003018234,-0.00034909463,0.0010279942,,,,,,,
2021-03-14 12:00:00,-0.0002858997,-0.00031164888,0.000855077,9.8214725e-05,6.713522e-05,-0.00025807752,0.00043354506,0.00042228666,-0.0007932591,1.3102775
2021-03-14 15:00:00,-0.0002612426,-0.00026860932,0.00072236825,,,,,,,
2021-03-14 18:00:00,-0.0002433935,-0.00023600945,0.0005987499,,,,,,,
2021-03-14 21:00:00,-0.00021958476,-0.0001996104,0.0004886448,,,,,,,
2021-03-15 00:00:00,-0.00020102513,-0.00017616857,0.0004610308,,,,,,,
2021-03-15 03:00:00,-0.00016111702,-0.00014312039,0.00046360077,,,,,,,
2021-03-15 06:00:00,-0.0001131429,-0.00011142657,0.00045886607,,,,,,,
2021-03-15 09:00:00,-5.22444e-05,-0.000106235246,0.00048286474,,,,,,,
2021-03-15 12:00:00,-1.0587738e-05,-0.00011157308,0.0005325165,0.00012719083,0.00010885161,-0.0003579168,0.0004403958,0.00043921263,-0.00084274757,1.3329346
2021-03-15 15:00:00,4.524439e-05,-0.0001433775,0.0006040915,,,,,,,
2021-03-15 18:00:00,9.641837e-05,-0.00018183928,0.00061409123,,,,,,,
2021-03-15 21:00:00,0.00013634787,-0.00018377138,0.0005760932,,,,,,,
2021-03-16 00:00:00,0.00017854248,-0.00015374912,0.00042705977,,,,,,,
2021-03-16 03:00:00,0.00022613112,-9.4280775e-05,0.00022691046,,,,,,,
2021-03-16 06:00:00,0.0002780697,-4.4434273e-05,2.6622482e-05,,,,,,,
2021-03-16 09:00:00,0.00031989027,-4.535764e-06,-0.00013613251,,,,,,,
2021-03-16 12:00:00,0.00033453217,3.679216e-05,-0.00026094992,0.00015961243,0.00013043187,-0.0004542285,0.00044255986,0.0004461428,-0.00085147267,1.3400145
2021-03-16 15:00:00,0.00036841168,7.190225e-05,-0.00035328633,,,,,,,
2021-03-16 18:00:00,0.00038837938,9.715587e-05,-0.00042180996,,,,,,,
2021-03-16 21:00:00,0.00040415672,9.75599e-05,-0.00038341177,,,,,,,
2021-03-17 00:00:00,0.00040154107,0.000102583406,-0.0003578088,,,,,,,
2021-03-17 03:00:00,0.00039890053,0.00012142499,-0.0003498762,,,,,,,
2021-03-17 06:00:00,0.0003978968,0.00012482984,-0.00036967077,,,,,,,
2021-03-17 09:00:00,0.00039394601,0.00014820648,-0.0003530949,,,,,,,
2021-03-17 12:00:00,0.0003890096,0.00017030686,-0.0003565879,0.00015835123,0.00013920288,-0.00051523483,0.0004407778,0.0004619793,-0.0008755825,1.3588456
2021-03-17 15:00:00,0.0004132941,0.00018176436,-0.00037186785,,,,,,,
2021-03-17 18:00:00,0.00045229023,0.00017194907,-0.00033004239,,,,,,,
2021-03-17 21:00:00,0.0004613306,0.00014242505,-0.00023090662,,,,,,,
2021-03-18 00:00:00,0.00045817276,0.00010898644,-0.00018195466,,,,,,,
2021-03-18 03:00:00,0.00045344565,8.91134e-05,-0.0001501674,,,,,,,
2021-03-18 06:00:00,0.00044850205,5.3468142e-05,-0.00012020144,,,,,,,
2021-03-18 09:00:00,0.00041872845,3.4977264e-05,-6.3397805e-05,,,,,,,
2021-03-18 12:00:00,0.00037505053,4.1892672e-05,-6.9590096e-05,0.00015625979,0.00013883083,-0.00043054982,0.00042862864,0.00046958064,-0.00087147305,1.371056
2021-03-18 15:00:00,0.0003335388,6.388052e-05,-9.275892e-05,,,,,,,
2021-03-18 18:00:00,0.00028086855,9.157899e-05,-0.00014103469,,,,,,,
2021-03-18 21:00:00,0.00023707545,0.00012069999,-0.00018215815,,,,,,,
2021-03-19 00:00:00,0.00019412585,0.00012937466,-0.00022918641,,,,,,,
2021-03-19 03:00:00,0.00016435553,0.00013763196,-0.0002767927,,,,,,,
2021-03-19 06:00:00,0.00013877812,0.00015216606,-0.00035188496,,,,,,,
2021-03-19 09:00:00,0.00010268084,0.00013970304,-0.00032609925,,,,,,,
2021-03-19 12:00:00,7.8235185e-05,0.000109890796,-0.00027606307,0.00013141635,0.00014333877,-0.0004687705,0.00044994595,0.00048409778,-0.000907482,1.3858788
2021-03-19 15:00:00,5.256898e-05,6.535995e-05,-0.0002035331,,,,,,,
2021-03-19 18:00:00,4.2188738e-05,1.5930684e-05,-0.00018787217,,,,,,,
2021-03-19 21:00:00,4.6596764e-05,-9.670122e-06,-0.00017731106,,,,,,,
2021-03-20 00:00:00,6.055747e-05,-3.6307738e-05,-0.00021875449,,,,,,,
2021-03-20 03:00:00,5.9065977e-05,-6.58383e-05,-0.00021595763,,,,,,,
2021-03-20 06:00:00,4.4872504e-05,-9.8469325e-05,-0.00020095358,,,,,,,
2021-03-20 09:00:00,2.7001399e-05,-0.00013649292,-0.00018975647,,,,,,,
2021-03-20 12:00:00,-2.3405746e-05,-0.00020522818,-7.8303325e-05,0.00010847274,0.00010497817,-0.00023926533,0.00044816022,0.00048786902,-0.0008912037,1.3868577
2021-03-20 15:00:00,-7.170233e-05,-0.00028288513,7.633178e-05,,,,,,,
2021-03-20 18:00:00,-0.00012161079,-0.00037693745,0.00024583627,,,,,,,
2021-03-20 21:00:00,-0.0001652656,-0.00046666738,0.00043518477,,,,,,,
2021-03-21 00:00:00,-0.00018272607,-0.0005402919,0.00058049266,,,,,,,
2021-03-21 03:00:00,-0.00019239499,-0.00060771,0.0007642685,,,,,,,
2021-03-21 06:00:00,-0.00020074884,-0.00068405626,0.0009506749,,,,,,,
2021-03-21 09:00:00,-0.00021270073,-0.00075570645,0.0011361612,,,,,,,
2021-03-21 12:00:00,-0.0002143097,-0.00081287057,0.0012497851,9.626848e-05,8.5066415e-05,0.00012523842,0.00044363836,0.0004958372,-0.00088240014,1.386888
